



New Mexico (MST) SCAN Site Adams Ranch #1 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Sep 18 03:06:07 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-1:-80 (degC) ,BATT.I-1 (volt) ,SRAD.I-1 (watt) ,ETIL.I-1 (volt) ,ETIB.I-1 (volt) ,
2015,1996-01-01,00:00,    0.00,    -0.8,     2.6,     3.2,     4.4,     4.3,     7.1,-99.9,   12.84,-99.9,    4.78,   12.69,
2015,1996-01-01,06:00,    0.00,    -3.0,     1.3,     2.3,     3.8,     4.4,     7.1,-99.9,   12.67,-99.9,    4.78,   12.62,
2015,1996-01-01,12:00,    0.00,     3.1,     5.1,     3.8,     3.8,     4.3,     7.1,-99.9,   13.56,-99.9,    4.78,   13.40,
2015,1996-01-01,18:00,    0.00,    -3.6,     2.7,     3.8,     4.7,     4.4,     7.1,-99.9,   12.95,-99.9,    4.78,   12.80,
2015,1996-01-02,00:00,    0.00,    -5.5,     1.3,     2.6,     4.0,     4.6,     7.1,-99.9,   12.80,-99.9,    4.78,   12.64,
2015,1996-01-02,06:00,    0.00,   -11.5,     0.4,     2.1,     3.6,     4.4,     7.1,-99.9,   12.61,-99.9,    4.78,   12.56,
2015,1996-01-02,12:00,    0.00,     3.9,     0.5,     2.0,     3.4,     4.3,     7.1,-99.9,   13.60,-99.9,    4.78,   13.40,
2015,1996-01-02,18:00,    0.00,   -10.3,     0.6,     1.9,     3.3,     4.2,     7.1,-99.9,   12.97,-99.9,    4.78,   12.92,
2015,1996-01-03,00:00,    0.00,    -7.1,    -0.4,     1.3,     2.9,     4.1,     7.1,-99.9,   12.79,-99.9,    4.78,   12.64,
2015,1996-01-03,06:00,    0.00,    -6.2,    -1.5,     0.9,     2.6,     4.0,     7.1,-99.9,   12.60,-99.9,    4.78,   12.53,
2015,1996-01-03,12:00,    0.00,     6.4,    -0.4,     0.9,     2.3,     3.8,     7.0,-99.9,   13.92,-99.9,    4.78,   13.40,
2015,1996-01-03,18:00,    0.00,     5.8,     1.3,     1.3,     2.5,     3.7,     7.0,-99.9,   12.98,-99.9,    4.78,   12.92,
2015,1996-01-04,00:00,    0.00,     3.2,     0.7,     1.1,     2.4,     3.6,     7.0,-99.9,   12.82,  111.51,    4.78,   12.68,
2015,1996-01-04,06:00,    0.00,     2.8,     0.2,     0.9,     2.3,     3.6,     7.0,-99.9,   12.64,  111.51,    4.78,   12.58,
