



New Mexico (MST) SCAN Site Willow Wells - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Oct 16 10:30:20 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-12 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),SMS.I-1:-60 (pct)  (loam),SMS.I-1:-80 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-12 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,STO.I-1:-60 (degC) ,STO.I-1:-80 (degC) ,STO.I-2:-2 (degC) ,STO.I-2:-4 (degC) ,STO.I-2:-8 (degC) ,STO.I-2:-12 (degC) ,STO.I-2:-20 (degC) ,STO.I-2:-40 (degC) ,STO.I-2:-60 (degC) ,STO.I-2:-80 (degC) ,RHUM.I-1 (pct) ,
2108,2014-07-13,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     2.1,-99.9,     3.9,-99.9,    16.3,    15.4,     8.6,     8.7,    28.1,    30.3,    29.6,-99.9,    28.3,    27.2,    24.2,    21.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-14,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     2.1,-99.9,     4.1,-99.9,    16.0,    15.3,     8.8,     8.6,    28.7,    30.7,    30.2,-99.9,    28.2,    27.3,    24.3,    21.6,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-15,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     1.6,-99.9,     4.0,-99.9,    16.0,    15.1,     8.8,     8.7,    27.4,-99.9,    30.1,-99.9,    28.3,    27.3,    24.4,    21.7,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-16,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.4,-99.9,     3.8,-99.9,    16.1,    15.1,     8.8,     8.6,    24.3,-99.9,    27.3,-99.9,    27.7,    27.3,    24.5,    21.8,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-17,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.5,-99.9,     3.9,-99.9,    16.2,    15.1,     8.8,     8.6,    27.4,    29.3,    29.1,-99.9,    27.7,    27.2,    24.5,    21.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-18,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     6.2,-99.9,     3.8,-99.9,    16.0,    15.0,     8.7,     8.8,    25.5,    27.9,    27.9,-99.9,    27.6,    27.1,    24.6,    22.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-19,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     7.8,-99.9,     3.6,-99.9,    16.2,    15.3,     8.8,     8.7,    24.5,    26.1,    27.3,-99.9,    27.1,    27.0,    24.6,    22.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-20,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    12.3,-99.9,    14.9,-99.9,    15.9,    15.5,     8.6,     8.8,    23.3,-99.9,    26.4,-99.9,    27.2,    26.8,    24.6,    22.2,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-21,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,    10.0,-99.9,    11.5,-99.9,    16.0,    15.1,     8.9,     8.8,    25.2,-99.9,    27.4,-99.9,    27.0,    26.7,    24.6,    22.3,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-22,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.9,-99.9,    10.3,-99.9,    16.0,    15.0,     8.9,     8.8,    26.6,-99.9,    28.8,-99.9,    27.7,    26.5,    24.6,    22.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
2108,2014-07-23,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,     8.4,-99.9,     9.0,-99.9,    16.0,    14.8,     8.8,     8.9,    26.4,-99.9,    28.5,-99.9,    27.7,    26.6,    24.6,    22.4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,
