



New Mexico (MST) SCAN Site Willow Wells - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Oct 16 10:30:39 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,RHUM.I-1 (pct) ,
2108,2022-01-01,,    0.48,     7.7,    11.1,     6.8,     9.8,   0.110,     1.1,     0.0,     2.2,     5.4,     2.8,     7.8,     8.8,    10.3,    11.2,    12.5,      99,
2108,2022-01-02,,    0.63,   -13.2,    12.9,   -13.2,     0.8,   0.150,     6.4,     0.0,     2.1,     5.3,     2.9,     1.8,     3.2,     8.2,    10.8,    12.4,      87,
2108,2022-01-03,,    0.63,    -5.0,     4.0,   -15.6,    -5.9,   0.000,     7.0,     0.1,     2.0,     5.0,     2.9,     0.9,     1.6,     5.8,     9.5,    12.2,      71,
2108,2022-01-04,,    0.63,    -0.2,    11.7,    -6.7,     0.9,   0.000,     7.1,     0.1,     1.9,     5.0,     2.6,     1.0,     1.6,     5.2,     8.5,    11.8,      54,
2108,2022-01-05,,    0.63,     6.1,    18.1,    -3.1,     6.8,   0.000,     7.0,     0.7,     1.9,     5.1,     2.7,     2.7,     3.4,     6.0,     8.2,    11.4,      30,
2108,2022-01-06,,    0.63,     3.8,    16.2,    -1.1,     6.5,   0.000,     6.6,     1.1,     2.1,     4.8,     2.6,     3.4,     4.1,     7.2,     8.3,    11.0,      45,
2108,2022-01-07,,    0.63,    -7.5,     6.9,   -10.1,    -3.0,   0.000,     6.4,     1.1,     2.1,     4.9,     3.0,     1.0,     1.7,     5.7,     8.0,    10.8,      81,
2108,2022-01-08,,    0.63,     8.3,    18.1,    -8.8,     4.2,   0.000,     6.3,     1.2,     1.9,     5.0,     2.8,     3.3,     4.0,     6.4,     7.7,    10.5,      35,
2108,2022-01-09,,    0.63,     7.1,    20.5,     4.1,    10.7,   0.000,     6.5,     1.6,     2.1,     4.8,     2.6,     6.5,     6.9,     8.0,     8.1,    10.3,      42,
2108,2022-01-10,,    0.63,    -5.7,     8.5,    -5.7,     1.1,   0.000,     5.8,     1.3,     2.0,     4.9,     2.7,     1.3,     2.1,     6.4,     8.2,    10.2,      70,
2108,2022-01-11,,    0.63,     0.7,    10.6,    -8.1,     0.9,   0.000,     5.8,     1.5,     2.0,     5.0,     2.7,     2.3,     2.9,     6.0,     7.6,    10.1,      43,
2108,2022-01-12,,    0.63,     0.8,    12.6,    -3.8,     4.3,   0.000,     5.8,     1.4,     2.1,     4.8,     2.7,     4.0,     4.7,     6.8,     7.7,     9.9,      54,
2108,2022-01-13,,    0.63,     2.3,    15.6,    -3.3,     5.6,   0.000,     5.6,     1.4,     2.1,     4.6,     2.5,     3.5,     4.4,     7.1,     7.8,     9.8,      33,
2108,2022-01-14,,    0.63,     4.8,    18.2,    -1.5,     7.9,   0.000,     5.7,     1.3,     2.2,     4.8,     2.5,     4.5,     5.4,     7.5,     7.8,     9.7,      32,
2108,2022-01-15,,    0.63,     3.3,    20.6,     2.8,     9.4,   0.000,     5.7,     1.6,     2.1,     4.9,     2.5,     6.6,     7.1,     8.1,     8.0,     9.7,      40,
2108,2022-01-16,,    0.63,    -1.0,     7.4,    -5.7,     0.7,   0.000,     5.3,     1.5,     2.1,     4.8,     2.6,     1.6,     2.8,     6.9,     8.1,     9.7,      42,
2108,2022-01-17,,    0.63,     3.0,    18.8,    -1.9,     6.3,   0.000,     5.3,     1.3,     2.1,     5.0,     2.6,     3.6,     4.7,     7.4,     7.8,     9.7,      22,
2108,2022-01-18,,    0.63,     4.3,    17.3,    -3.7,     7.0,   0.000,     5.1,     1.7,     2.2,     4.8,     2.6,     4.4,     5.2,     7.1,     7.7,     9.6,      37,
2108,2022-01-19,,    0.63,     6.3,    18.3,     2.2,     9.9,   0.000,     5.4,     1.5,     2.3,     4.8,     2.6,     7.3,     7.8,     8.3,     8.0,     9.5,      50,
2108,2022-01-20,,    0.63,    -6.0,     6.9,    -6.0,     2.4,   0.000,     4.8,     1.5,     2.3,     5.0,     2.4,     4.0,     5.0,     7.8,     8.2,     9.5,      56,
2108,2022-01-21,,    0.63,    -9.3,    -0.9,   -10.4,    -6.0,   0.000,     4.6,     1.2,     2.0,     5.0,     2.6,     0.0,     1.2,     5.7,     7.6,     9.5,      69,
2108,2022-01-22,,    0.63,    -2.5,    10.9,   -11.4,    -0.6,   0.000,     4.8,     1.5,     1.9,     4.6,     2.5,     2.9,     4.0,     5.8,     7.0,     9.4,      67,
2108,2022-01-23,,    0.63,    -4.1,     7.3,    -9.6,    -1.3,   0.000,     4.5,     1.3,     2.0,     4.9,     2.6,     2.0,     3.2,     6.0,     7.0,     9.2,     100,
2108,2022-01-24,,    0.63,    -2.6,    11.7,    -7.5,     1.8,   0.000,     4.5,     1.3,     2.1,     4.7,     2.7,     3.1,     4.3,     6.4,     7.0,     9.0,      89,
2108,2022-01-25,,    0.63,    -3.0,    15.2,    -4.0,     3.8,   0.000,     4.6,     1.5,     2.1,     4.7,     2.5,     4.3,     5.5,     6.9,     7.1,     8.9,      65,
2108,2022-01-26,,    0.63,    -3.4,    12.8,    -7.4,     2.8,   0.000,     4.5,     1.3,     2.2,     4.9,     2.5,     5.1,     6.1,     7.2,     7.2,     8.9,      61,
2108,2022-01-27,,    0.63,    -4.5,     3.0,    -7.1,    -3.6,   0.000,     4.0,     0.9,     2.0,     4.8,     2.5,    -0.1,     1.2,     5.1,     7.1,     8.8,      96,
2108,2022-01-28,,    0.63,    -2.1,     8.9,    -7.9,    -0.2,   0.000,     4.1,     1.0,     2.0,     4.9,     2.6,     2.8,     3.9,     5.8,     6.6,     8.8,      80,
2108,2022-01-29,,    0.63,    -4.3,     8.0,   -10.3,    -0.8,   0.000,     4.0,     0.8,     1.9,     4.6,     2.6,     0.8,     2.6,     5.5,     6.6,     8.6,      63,
2108,2022-01-30,,    0.63,     0.9,    14.0,    -6.1,     3.3,   0.000,     3.8,     0.8,     2.1,     4.9,     2.7,     1.4,     3.1,     5.6,     6.4,     8.5,      40,
2108,2022-01-31,,    0.63,     5.1,    13.9,    -1.6,     4.7,   0.000,     3.9,     1.0,     2.0,     4.9,     2.5,     3.8,     4.3,     5.6,     6.3,     8.4,      27,
2108,2022-02-01,,    0.63,     6.8,    16.9,    -3.8,     6.7,   0.000,     3.7,     0.9,     2.1,     4.8,     2.6,     5.3,     6.4,     6.9,     6.7,     8.3,      32,
2108,2022-02-02,,    0.63,     1.0,    11.4,     1.0,     6.6,   0.000,     3.5,     0.8,     2.2,     4.7,     2.6,     6.6,     7.4,     7.8,     7.2,     8.3,      49,
2108,2022-02-03,,    0.63,   -12.4,     0.9,   -12.4,    -5.5,   0.000,     3.0,     0.4,     1.9,     4.7,     2.6,    -0.5,     1.0,     4.9,     6.9,     8.4,      82,
2108,2022-02-04,,    0.63,   -16.4,    -6.7,   -17.0,   -11.9,   0.000,     2.9,     0.2,     1.8,     4.7,     2.7,    -3.2,    -1.2,     3.2,     5.9,     8.4,      94,
2108,2022-02-05,,    0.63,    -8.0,     4.5,   -17.8,    -7.5,   0.000,     2.9,     0.4,     1.9,     4.4,     2.6,    -2.4,    -0.3,     2.9,     5.0,     8.1,      56,
2108,2022-02-06,,    0.63,    -2.1,     9.8,   -10.9,    -1.3,   0.000,     2.8,     0.4,     1.9,     4.6,     2.4,    -0.7,     1.0,     3.4,     4.8,     7.7,      54,
2108,2022-02-07,,    0.63,    -5.0,     9.4,    -6.6,     1.3,   0.000,     3.1,     0.6,     2.1,     4.5,     2.5,     1.5,     3.0,     4.6,     5.0,     7.5,      92,
2108,2022-02-08,,    0.63,    -1.8,     9.8,    -8.7,     0.4,   0.000,     3.0,     0.7,     2.0,     4.8,     2.3,     1.1,     2.9,     4.9,     5.3,     7.3,      49,
2108,2022-02-09,,    0.63,     2.6,    18.2,    -6.9,     5.8,   0.000,     3.0,     0.9,     2.1,     4.7,     2.4,     5.5,     6.5,     6.1,     5.6,     7.3,      44,
2108,2022-02-10,,    0.63,     4.5,    17.4,    -3.8,     6.8,   0.000,     2.6,     0.5,     2.1,     4.5,     2.4,     5.2,     6.6,     7.1,     6.2,     7.3,      31,
2108,2022-02-11,,    0.63,     1.3,    15.3,    -0.7,     6.2,   0.000,     2.5,     0.4,     2.2,     4.8,     2.6,     4.8,     6.3,     7.9,     6.7,     7.5,      43,
2108,2022-02-12,,    0.63,     2.5,    16.2,     0.8,     8.2,   0.000,     2.6,     0.5,     2.2,     4.9,     2.5,     7.0,     8.0,     8.4,     7.1,     7.7,      62,
2108,2022-02-13,,    0.63,    -4.0,     4.9,    -5.1,     0.1,   0.000,     2.2,     0.1,     2.0,     4.9,     2.4,     2.3,     4.1,     7.2,     7.3,     7.9,      93,
2108,2022-02-14,,    0.63,     1.6,    14.5,    -5.0,     4.1,   0.000,     2.2,     0.3,     2.0,     4.8,     2.4,     3.5,     5.4,     7.1,     7.0,     8.0,      48,
2108,2022-02-15,,    0.63,     6.7,    19.6,    -1.4,     9.0,   0.000,     2.5,     0.4,     2.3,     4.7,     2.7,     4.7,     6.6,     7.8,     7.1,     8.0,      22,
2108,2022-02-16,,    0.63,     6.6,    23.3,     1.3,    12.1,   0.000,     2.8,     0.5,     2.3,     4.8,     2.6,     7.7,     8.9,     8.7,     7.5,     8.1,      44,
2108,2022-02-17,,    0.63,     7.4,    20.9,     2.3,    12.9,   0.000,     2.7,     0.9,     2.4,     4.8,     2.3,    10.7,    11.3,     9.9,     8.1,     8.2,      44,
2108,2022-02-18,,    0.63,    -7.9,     7.0,    -9.0,    -1.0,   0.000,     2.3,     0.5,     2.4,     5.2,     2.8,     3.0,     5.3,     8.6,     8.3,     8.5,      70,
2108,2022-02-19,,    0.63,     2.0,    13.2,    -8.4,     2.5,   0.000,     2.1,     0.4,     2.3,     4.9,     2.7,     4.2,     6.2,     7.9,     7.8,     8.6,      34,
2108,2022-02-20,,    0.63,     4.6,    16.1,    -2.8,     6.8,   0.000,     2.1,     0.1,     2.2,     4.8,     2.7,     6.7,     8.1,     8.6,     7.9,     8.6,      41,
2108,2022-02-21,,    0.63,    13.0,    21.2,     0.2,    10.8,   0.000,     2.1,     0.5,     2.3,     4.9,     2.5,     8.9,    10.0,     9.6,     8.3,     8.7,      13,
2108,2022-02-22,,    0.63,     6.0,    19.3,     6.0,    12.6,   0.000,     1.9,     0.4,     2.4,     5.1,     2.5,     8.8,    10.0,    10.1,     8.8,     8.8,      40,
