



New Mexico (MST) SCAN Site Willow Wells - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Oct 16 10:30:41 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,RHUM.I-1 (pct) ,
2108,2023-01-01,,    2.86,     4.8,    19.2,     2.2,     9.2,   0.000,     6.7,     5.2,     4.8,     5.2,     2.6,     6.6,     7.0,     7.7,     7.4,     8.3,      75,
2108,2023-01-02,,    2.86,     9.5,    19.9,     4.8,    12.0,   0.000,     6.9,     5.1,     4.8,     5.5,     2.5,     8.3,     8.5,     8.7,     7.9,     8.5,      54,
2108,2023-01-03,,    2.94,     0.6,    14.6,     0.0,     6.6,   0.080,     6.3,     4.5,     4.5,     5.3,     2.8,     2.9,     3.8,     6.1,     7.8,     8.7,      70,
2108,2023-01-04,,    2.94,     1.9,    11.1,    -2.3,     4.6,   0.000,     6.2,     4.7,     4.5,     5.3,     2.5,     4.1,     4.7,     5.8,     7.0,     8.7,      70,
2108,2023-01-05,,    2.94,    -0.5,    12.6,    -0.8,     4.7,   0.000,     6.2,     4.6,     4.5,     5.3,     2.9,     3.3,     4.1,     5.9,     6.9,     8.6,      62,
2108,2023-01-06,,    2.94,     6.6,    17.6,    -3.9,     6.7,   0.000,     6.3,     4.3,     4.4,     5.3,     2.8,     5.9,     6.3,     6.9,     7.0,     8.5,      42,
2108,2023-01-07,,    2.94,     4.1,    20.2,     4.1,    11.3,   0.000,     6.3,     4.5,     4.2,     5.5,     2.7,     6.4,     6.9,     8.1,     7.8,     8.5,      46,
2108,2023-01-08,,    2.94,    -1.3,    11.8,    -4.6,     4.1,   0.000,     6.1,     4.5,     4.1,     5.3,     2.5,     2.8,     3.7,     6.2,     7.5,     8.7,      65,
2108,2023-01-09,,    2.94,     5.1,    17.4,    -5.1,     6.1,   0.000,     6.2,     4.5,     4.0,     5.0,     3.0,     4.1,     4.8,     6.3,     7.0,     8.7,      59,
2108,2023-01-10,,    2.94,     6.2,    19.1,    -1.3,     9.0,   0.000,     6.1,     4.7,     4.0,     5.4,     2.7,     4.9,     5.6,     7.0,     7.3,     8.6,      39,
2108,2023-01-11,,    2.94,     7.1,    20.2,     3.9,    10.6,   0.000,     6.1,     4.1,     4.0,     5.5,     2.7,     5.2,     5.9,     7.4,     7.5,     8.6,      38,
2108,2023-01-12,,    2.98,     1.2,    18.5,     1.2,    11.0,   0.040,     6.0,     4.4,     4.1,     5.5,     2.5,     6.2,     6.8,     8.1,     8.0,     8.6,      44,
2108,2023-01-13,,    2.98,    -0.5,    12.1,    -5.3,     3.6,   0.000,     5.6,     4.0,     3.9,     5.5,     2.8,     3.8,     4.7,     7.0,     7.8,     8.8,      56,
2108,2023-01-14,,    2.98,     4.9,    16.4,    -3.2,     6.2,   0.000,     5.7,     4.1,     3.8,     5.4,     2.8,     5.3,     5.9,     6.9,     7.5,     8.8,      42,
2108,2023-01-15,,    2.98,    10.2,    21.1,     0.3,    10.2,   0.000,     5.6,     3.8,     3.8,     5.4,     2.6,     7.5,     7.8,     8.2,     7.8,     8.7,      29,
