



New Mexico (MST) SCAN Site Willow Wells - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Oct 16 10:30:43 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-1:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-1:-40 (degC) ,RHUM.I-1 (pct) ,
2108,2024-01-01,,    2.79,    -1.9,    16.1,    -1.9,     7.0,   0.000,     6.5,     4.9,     6.9,     5.2,     2.7,     4.4,     5.1,     6.5,     7.2,     9.3,      85,
2108,2024-01-02,,    2.79,     1.5,    10.6,    -7.2,     1.7,   0.000,     6.4,     4.8,     6.7,     5.3,     2.7,     4.4,     4.8,     5.8,     7.1,     9.3,      68,
2108,2024-01-03,,    2.79,    -4.2,     9.9,    -4.4,     3.1,   0.000,     6.1,     4.8,     6.6,     5.2,     2.7,     2.5,     3.3,     5.6,     7.2,     9.2,      88,
2108,2024-01-04,,    2.79,     0.1,    13.8,    -7.4,     3.3,   0.000,     6.1,     4.9,     6.5,     5.2,     2.8,     3.5,     4.2,     5.6,     6.9,     9.1,      86,
2108,2024-01-05,,    3.01,     1.6,     5.1,    -0.4,     1.6,   0.220,     8.9,     5.7,     6.5,     5.4,     2.7,     2.2,     2.6,     4.3,     6.5,     9.0,      84,
2108,2024-01-06,,    3.02,    -1.1,     8.4,    -2.4,     2.3,   0.010,     8.4,     6.0,     6.3,     5.2,     2.8,     1.9,     2.4,     4.5,     6.4,     8.9,      84,
2108,2024-01-07,,    3.02,    -1.4,     5.8,    -4.6,     0.0,   0.000,     8.0,     5.7,     6.6,     5.0,     2.5,     0.9,     1.4,     3.4,     5.9,     8.7,      74,
2108,2024-01-08,,    3.02,     6.4,    11.2,    -3.3,     4.3,   0.000,     7.9,     5.8,     6.7,     5.0,     2.7,     3.8,     3.7,     3.5,     5.3,     8.5,      82,
2108,2024-01-09,,    3.02,    -4.8,     7.4,    -6.1,     0.1,   0.000,     7.6,     5.5,     6.7,     5.1,     2.8,     0.6,     1.0,     2.6,     5.2,     8.2,      80,
2108,2024-01-10,,    3.02,    -2.0,     8.7,    -8.7,    -0.4,   0.000,     7.4,     5.2,     6.9,     5.1,     2.5,     0.6,     1.0,     2.4,     4.7,     8.0,      42,
2108,2024-01-11,,    3.02,     0.5,    14.2,    -4.3,     4.8,   0.000,     7.3,     5.4,     6.8,     5.3,     2.6,     1.3,     1.9,     3.7,     5.0,     7.7,      47,
2108,2024-01-12,,    3.05,    -3.7,    13.4,    -4.3,     6.3,   0.030,     7.4,     5.3,     7.0,     5.2,     2.5,     3.0,     3.7,     5.1,     5.5,     7.6,      74,
2108,2024-01-13,,    3.05,    -0.6,     8.5,    -8.2,     0.4,   0.000,     7.0,     5.4,     6.9,     5.1,     2.5,     1.0,     1.5,     3.4,     5.2,     7.6,      30,
2108,2024-01-14,,    3.05,    -9.8,    16.0,    -9.8,     3.8,   0.000,     7.0,     5.0,     6.9,     5.1,     2.5,     1.2,     2.0,     4.3,     5.4,     7.5,      65,
2108,2024-01-15,,    3.05,   -11.8,     0.3,   -12.5,    -8.2,   0.000,     6.0,     5.0,     6.7,     5.2,     2.5,    -0.1,     0.6,     2.2,     4.7,     7.4,      53,
2108,2024-01-16,,    3.05,   -14.2,    11.8,   -14.2,    -6.0,   0.000,     4.9,     5.1,     6.6,     5.1,     2.6,    -0.3,     0.5,     2.1,     4.3,     7.2,      57,
2108,2024-01-17,,    3.05,   -10.2,     0.5,   -17.5,    -9.3,   0.000,     4.1,     3.8,     6.5,     5.3,     2.7,    -1.0,    -0.1,     1.0,     3.6,     7.0,      52,
2108,2024-01-18,,    3.05,     5.6,    16.4,   -10.7,     3.1,   0.000,     7.0,     5.2,     6.7,     5.0,     2.4,     1.7,     2.1,     2.1,     3.7,     6.7,      34,
2108,2024-01-19,,    3.05,    -3.4,    19.1,    -3.4,    11.2,   0.000,     7.0,     5.1,     6.8,     5.1,     2.7,     5.1,     5.6,     6.3,     5.2,     6.6,      76,
2108,2024-01-20,,    3.05,    -5.1,     3.5,    -9.7,    -3.5,   0.000,     6.7,     4.8,     6.6,     5.3,     2.6,     1.4,     2.1,     4.0,     5.2,     6.7,      44,
2108,2024-01-21,,    3.05,    -3.8,     2.4,    -8.6,    -3.5,   0.000,     6.5,     4.7,     6.5,     5.1,     2.4,     0.9,     1.5,     3.2,     4.8,     6.8,      47,
2108,2024-01-22,,    3.07,    -0.7,     4.0,    -4.5,    -0.3,   0.020,     6.4,     4.8,     6.4,     5.1,     2.6,     1.2,     1.6,     2.9,     4.5,     6.8,      79,
2108,2024-01-23,,    3.07,     4.7,    15.6,    -4.3,     5.8,   0.000,     6.6,     4.8,     6.6,     5.1,     2.4,     3.8,     4.2,     5.1,     5.0,     6.7,      69,
2108,2024-01-24,,    3.08,     4.2,    13.7,     2.7,     7.5,   0.010,     6.8,     4.7,     6.6,     5.2,     2.3,     6.8,     6.9,     6.6,     5.8,     6.7,      99,
2108,2024-01-25,,    3.12,     2.1,    10.9,     1.7,     5.6,   0.040,     6.4,     4.7,     6.6,     5.5,     2.5,     4.1,     4.8,     6.5,     6.5,     6.9,      96,
2108,2024-01-26,,    3.13,     5.2,    13.4,    -0.8,     5.9,   0.010,     6.4,     4.6,     6.5,     5.5,     2.7,     4.2,     4.6,     5.7,     6.2,     7.1,      69,
2108,2024-01-27,,    3.15,    -0.6,    10.1,    -0.6,     5.5,   0.020,     6.4,     4.8,     6.4,     5.3,     2.5,     4.8,     5.4,     6.3,     6.4,     7.3,      94,
2108,2024-01-28,,    3.15,     1.2,    12.7,    -1.1,     4.8,   0.000,     6.3,     4.7,     6.3,     5.2,     2.5,     4.0,     4.8,     6.6,     6.7,     7.4,      71,
2108,2024-01-29,,    3.15,     3.4,    16.0,    -1.1,     6.4,   0.000,     6.3,     4.9,     6.2,     5.4,     2.5,     4.1,     4.9,     6.6,     6.7,     7.5,      51,
2108,2024-01-30,,    3.15,     1.7,    17.6,     1.3,     8.3,   0.000,     6.4,     4.3,     6.3,     5.2,     2.5,     5.3,     6.0,     7.4,     7.0,     7.6,      62,
2108,2024-01-31,,    3.15,     4.2,    19.2,    -1.1,     8.9,   0.000,     6.6,     4.9,     6.2,     5.5,     2.5,     6.3,     7.0,     8.1,     7.4,     7.7,      48,
2108,2024-02-01,,    3.15,     5.5,    18.0,     2.1,    10.2,   0.000,     6.4,     5.0,     6.3,     5.3,     2.6,     8.1,     8.5,     8.9,     7.9,     7.9,      75,
2108,2024-02-02,,    3.15,     8.8,    19.8,     3.9,    11.4,   0.000,     6.4,     4.8,     6.1,     5.6,     2.8,     8.4,     8.9,     9.5,     8.4,     8.1,      59,
2108,2024-02-03,,    3.15,     3.1,    17.3,     3.1,     9.4,   0.000,     6.1,     4.6,     6.0,     5.5,     2.7,     5.8,     6.6,     8.4,     8.6,     8.4,      67,
2108,2024-02-04,,    3.19,     6.4,    12.9,     0.7,     6.8,   0.040,     6.0,     4.6,     5.9,     5.3,     2.5,     6.6,     7.1,     8.0,     8.1,     8.6,      29,
2108,2024-02-05,,    3.19,     1.3,    14.5,     0.3,     7.1,   0.000,     6.0,     4.8,     5.8,     5.5,     2.8,     6.6,     7.3,     8.5,     8.3,     8.6,      87,
2108,2024-02-06,,    3.19,     3.3,    15.4,    -2.8,     6.0,   0.000,     5.8,     4.6,     5.8,     5.7,     2.5,     7.0,     7.8,     9.1,     8.6,     8.7,      68,
2108,2024-02-07,,    3.19,     7.4,    15.5,     2.1,     8.6,   0.000,     5.8,     4.3,     5.8,     5.4,     2.8,     8.2,     8.4,     8.7,     8.4,     8.8,      69,
2108,2024-02-08,,    3.21,     3.6,    15.9,     2.3,     8.0,   0.020,     5.6,     4.2,     5.6,     5.6,     2.8,     5.5,     6.1,     7.9,     8.6,     8.9,      58,
2108,2024-02-09,,    3.21,     3.7,    14.7,    -1.0,     6.9,   0.000,     5.4,     4.6,     5.5,     5.4,     2.8,     6.9,     7.5,     8.5,     8.4,     9.0,      45,
2108,2024-02-10,,    3.21,     4.2,    10.4,     3.2,     6.3,   0.000,     5.3,     4.5,     5.4,     5.7,     2.4,     6.3,     6.7,     7.6,     8.2,     9.0,      46,
2108,2024-02-11,,    3.21,    -0.1,    13.2,    -0.1,     6.1,   0.000,     5.3,     4.0,     5.5,     5.6,     2.8,     7.0,     7.8,     8.8,     8.5,     9.0,      92,
2108,2024-02-12,,    3.28,    -5.3,     3.0,    -5.3,    -0.8,   0.070,     4.8,     3.8,     5.1,     5.5,     2.7,     1.7,     2.4,     5.1,     7.7,     9.1,      92,
2108,2024-02-13,,    3.28,    -1.0,     9.5,    -6.7,     0.7,   0.000,     4.8,     3.8,     5.1,     5.6,     2.8,     2.2,     3.1,     5.2,     6.9,     8.9,      70,
2108,2024-02-14,,    3.28,     3.6,    16.4,    -3.6,     6.3,   0.000,     5.1,     4.2,     5.2,     5.4,     2.7,     5.1,     5.8,     7.0,     7.1,     8.6,      36,
2108,2024-02-15,,    3.28,     5.2,    18.1,    -0.4,     8.9,   0.000,     5.2,     4.1,     5.3,     5.7,     2.7,     6.0,     6.9,     8.2,     7.8,     8.5,      47,
2108,2024-02-16,,    3.28,     8.4,    19.8,    -0.1,    11.1,   0.000,     5.4,     4.3,     5.3,     5.6,     2.6,     9.3,     9.9,     9.9,     8.4,     8.6,      26,
2108,2024-02-17,,    3.28,    -1.6,    10.6,    -1.6,     6.0,   0.000,     5.4,     4.1,     5.2,     5.7,     2.6,     6.9,     7.7,     9.2,     8.9,     8.8,      86,
2108,2024-02-18,,    3.28,    -5.4,    -0.8,    -5.8,    -3.4,   0.000,     5.0,     3.7,     4.8,     5.3,     2.7,     2.3,     3.0,     5.3,     7.8,     9.0,      84,
2108,2024-02-19,,    3.28,     2.9,    13.1,    -9.4,     2.0,   0.000,     5.3,     4.1,     5.0,     5.8,     2.7,     5.0,     5.7,     6.9,     7.4,     8.8,      53,
2108,2024-02-20,,    3.28,     8.0,    20.4,    -0.3,    10.2,   0.000,     5.3,     3.8,     5.1,     5.6,     2.6,     7.3,     8.0,     8.8,     8.0,     8.7,      29,
2108,2024-02-21,,    3.28,     7.6,    23.8,     4.0,    13.9,   0.000,     5.0,     4.0,     5.0,     5.8,     2.6,     8.8,     9.6,    10.5,     8.9,     8.8,      21,
2108,2024-02-22,,    3.30,     5.5,    26.4,     0.8,    15.5,   0.020,     4.7,     4.0,     5.1,     5.8,     2.8,    10.6,    11.2,    11.6,     9.5,     9.0,      27,
2108,2024-02-23,,    3.30,     3.2,    18.4,     3.2,    10.2,   0.000,     4.1,     3.9,     5.1,     5.9,     2.6,     9.8,    10.6,    11.5,    10.1,     9.3,      54,
2108,2024-02-24,,    3.30,     4.6,    16.9,    -0.6,     8.5,   0.000,     3.7,     3.9,     5.0,     5.9,     2.8,     9.1,    10.2,    11.5,    10.4,     9.6,      49,
2108,2024-02-25,,    3.30,     7.3,    20.8,     2.5,    11.7,   0.000,     3.4,     3.9,     5.1,     5.7,     2.7,    10.1,    11.0,    11.7,    10.5,     9.8,      37,
2108,2024-02-26,,    3.30,     9.8,    25.2,     2.1,    15.0,   0.000,     3.3,     3.6,     5.0,     5.8,     2.8,    11.9,    12.6,    12.6,    10.9,    10.1,      33,
2108,2024-02-27,,    3.30,    14.5,    25.1,     8.8,    17.2,   0.000,     3.0,     3.6,     5.1,     6.0,     3.0,    13.3,    13.6,    13.4,    11.4,    10.3,      43,
2108,2024-02-28,,    3.54,     3.9,    22.0,     3.9,    17.0,   0.240,     3.0,     3.2,     5.0,     5.7,     2.8,    12.8,    13.3,    13.6,    11.9,    10.6,      50,
2108,2024-02-29,,    3.54,     2.7,     6.6,    -2.3,     2.2,   0.000,     2.6,     2.7,     4.6,     6.2,     2.9,     7.8,     8.6,    10.4,    11.3,    10.9,      33,
2108,2024-03-01,,    3.69,     5.3,     8.2,    -2.2,     2.7,   0.150,     4.3,     2.2,     4.4,     5.8,     2.8,     4.8,     5.8,     8.1,    10.2,    10.9,      84,
2108,2024-03-02,,    3.70,     6.3,    21.0,     3.7,    11.2,   0.010,     5.8,     2.5,     4.5,     5.8,     2.8,     7.9,     9.1,    10.7,    10.3,    10.8,      50,
2108,2024-03-03,,    3.70,    12.5,    22.5,     3.3,    13.9,   0.000,     6.3,     2.7,     4.6,     5.5,     2.9,    11.2,    11.8,    12.3,    10.8,    10.7,      19,
2108,2024-03-04,,    3.70,    11.2,    24.8,     9.2,    16.6,   0.000,     6.2,     2.8,     4.8,     5.9,     2.7,    12.7,    13.3,    13.9,    11.8,    10.8,      25,
2108,2024-03-05,,    3.70,     8.6,    20.5,     7.2,    13.8,   0.000,     5.9,     2.8,     4.7,     5.9,     2.8,    10.9,    11.8,    13.5,    12.3,    11.1,      35,
2108,2024-03-06,,    3.70,     8.2,    20.7,     4.0,    12.3,   0.000,     5.9,     2.9,     4.5,     6.2,     3.1,    11.0,    11.9,    13.4,    12.4,    11.4,      31,
2108,2024-03-07,,    3.70,    14.3,    20.6,     3.2,    13.1,   0.000,     5.8,     3.3,     4.6,     6.1,     3.0,    14.2,    14.3,    14.1,    12.5,    11.6,      26,
2108,2024-03-08,,    3.70,     6.2,    20.8,     6.0,    13.9,   0.000,     5.2,     3.2,     4.5,     6.2,     3.1,    11.8,    12.7,    14.3,    13.2,    11.8,      35,
2108,2024-03-09,,    3.70,    -2.8,     6.5,    -3.0,     3.7,   0.000,     4.6,     2.8,     4.2,     6.1,     3.0,     7.2,     8.5,    11.2,    12.3,    12.0,      84,
2108,2024-03-10,,    3.70,     0.3,    11.4,    -3.2,     3.6,   0.000,     4.5,     2.6,     4.2,     6.0,     2.9,     8.4,     9.7,    11.8,    11.9,    12.0,      63,
2108,2024-03-11,,    3.70,     5.8,    16.1,    -1.6,     7.4,   0.000,     4.1,     2.5,     4.1,     5.8,     3.0,    10.4,    11.2,    12.4,    12.0,    11.9,      55,
2108,2024-03-12,,    3.70,     7.7,    20.9,     2.0,    11.8,   0.000,     3.6,     2.6,     4.2,     6.0,     3.0,    11.5,    12.5,    13.4,    12.3,    11.9,      47,
2108,2024-03-13,,    3.70,    12.4,    23.0,     5.0,    14.1,   0.000,     3.0,     2.3,     4.3,     6.3,     3.0,    12.8,    13.7,    14.4,    12.8,    12.0,      19,
2108,2024-03-14,,    3.70,     5.2,    23.4,     5.2,    14.3,   0.000,     2.6,     2.3,     4.3,     6.1,     3.0,    12.9,    14.1,    14.9,    13.3,    12.2,      56,
2108,2024-03-15,,    3.70,     5.0,    20.1,     3.0,    11.4,   0.000,     2.8,     2.2,     4.1,     5.8,     2.9,    13.0,    14.0,    14.7,    13.3,    12.4,      79,
2108,2024-03-16,,    3.70,     5.8,     7.1,     3.5,     5.3,   0.000,     2.4,     1.8,     3.9,     6.1,     2.9,     9.7,    10.2,    11.4,    12.5,    12.6,      97,
2108,2024-03-17,,    3.75,     7.0,     8.6,     5.3,     6.7,   0.050,     2.7,     1.4,     3.7,     5.9,     3.0,     9.4,     9.8,    10.7,    12.0,    12.5,      98,
2108,2024-03-18,,    3.75,     2.5,    10.2,     2.5,     7.5,   0.000,     2.6,     1.6,     3.7,     6.1,     3.0,     7.9,     9.0,    10.8,    11.8,    12.4,      98,
